url,desired_price
https://www.amazon.in/gp/product/B07XVMDRZY/ref=s9_acss_bw_cg_Headers_2d1_w?pf_rd_m=A1K21FY43GMZF8&pf_rd_s=merchandised-search-12&pf_rd_r=16PQHT6J2KFZW359EV9D&pf_rd_t=101&pf_rd_p=00cb27c4-faf9-47e8-8899-c96f8fbb7ef8&pf_rd_i=1389401031,53000
https://www.amazon.in/dp/B012TRTE6M/ref=twister_dp_update?_encoding=UTF8&psc=1,1200
https://www.amazon.in/ASUS-FX505DT-15-6-inch-Graphics-FX505DT-BQ151T/dp/B08CY2M684,51000
